"TL","Territory level and Typology","REG_ID","Region","VAR","Indicator","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"1","Country","CAN","Canada","MORT_TRANSP_RA","Mortality rate due to transport accident (deaths for  100 000 population)","ALL","All regions","2004","2004",,,"0","Units",,,9.6,,
"1","Country","CAN","Canada","HOMIC","Intentional Homicides (number)","ALL","All regions","2004","2004",,,"0","Units",,,624,,
"1","Country","CAN","Canada","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2004","2004",,,"0","Units",,,2,,
"1","Country","CAN","Canada","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2004","2004",,,"0","Units",,,169977,,
"1","Country","CAN","Canada","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2004","2004",,,"0","Units",,,532.2,,
"1","Country","CAN","Canada","MORT_TRANSP_RA","Mortality rate due to transport accident (deaths for  100 000 population)","ALL","All regions","2005","2005",,,"0","Units",,,10.2,,
"1","Country","CAN","Canada","HOMIC","Intentional Homicides (number)","ALL","All regions","2005","2005",,,"0","Units",,,663,,
"1","Country","CAN","Canada","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2005","2005",,,"0","Units",,,2.1,,
"1","Country","CAN","Canada","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2005","2005",,,"0","Units",,,160014,,
"1","Country","CAN","Canada","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2005","2005",,,"0","Units",,,496.3,,
"1","Country","CAN","Canada","MORT_TRANSP_RA","Mortality rate due to transport accident (deaths for  100 000 population)","ALL","All regions","2006","2006",,,"0","Units",,,9.7,,
"1","Country","CAN","Canada","HOMIC","Intentional Homicides (number)","ALL","All regions","2006","2006",,,"0","Units",,,606,,
"1","Country","CAN","Canada","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2006","2006",,,"0","Units",,,1.9,,
"1","Country","CAN","Canada","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2006","2006",,,"0","Units",,,158638,,
